id,model_path,backbone,aggregation,fc_output_dim,precision,quantise_aware_training,mean_encoding_time,std_encoding_time,mean_retrieval_time,model_params,model_size,descriptor_size,mapillary_sls_r@1,mapillary_sls_r@5,mapillary_sls_r@10,mapillary_sls_r@20,eynsham_r@1,eynsham_r@5,eynsham_r@10,eynsham_r@20,nordland_r@1,nordland_r@5,nordland_r@10,nordland_r@20,st_lucia_r@1,st_lucia_r@5,st_lucia_r@10,st_lucia_r@20,pitts30k_r@1,pitts30k_r@5,pitts30k_r@10,pitts30k_r@20,tokyo_r@1,tokyo_r@5,tokyo_r@10,tokyo_r@20
efficientnet_b0_netvlad_fp32_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/efficientnetb0_netvlad_1024/best_model.pth,efficientnet_b0,netvlad,1024,fp32_comp,,2.355144643783569,0.010088923487515,0.0001711273193359,,476745594,4096,,,,,,,,,13.438677877645691,24.93113946071325,31.693969266454047,39.68904030153668,81.55737704918032,94.12568306010928,96.99453551912568,98.5655737704918,58.43603286384976,80.44307511737088,87.4706572769953,92.48826291079811,,,,
efficientnet_b0_netvlad_fp16_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/efficientnetb0_netvlad_1024/best_model.pth,efficientnet_b0,netvlad,1024,fp16_comp,,1.3016524839401244,0.0076168956077693,0.0001683950424194,,244643322,4096,,,,,,,,,13.453174833285011,24.960133371991883,31.63235720498696,39.63467671788924,81.35245901639344,93.98907103825135,97.06284153005464,98.49726775956285,58.70011737089202,80.36971830985915,87.45598591549296,92.54694835680752,,,,
efficientnet_b0_netvlad_int8_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/efficientnetb0_netvlad_1024/best_model.pth,efficientnet_b0,netvlad,1024,int8_comp,,1.093404152393341,0.0102569742557261,0.0001662850379943,,124582778,4096,,,,,,,,,10.825601623659033,21.643954769498404,28.03711220643665,36.20252247028124,79.84972677595628,93.44262295081968,96.03825136612022,97.60928961748634,54.37206572769953,77.67018779342723,84.91784037558685,90.3462441314554,,,,
resnet18conv4_netvlad_fp32_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet18_netvlad_1024/best_model.pth,resnet18conv4,netvlad,1024,fp32_comp,,1.2308691155910492,0.0266018642180367,0.000169882774353,,115649914,4096,,,,,,,,,16.704117135401567,30.97636996230792,38.63438677877646,47.68048709770948,77.93715846994536,88.59289617486338,92.41803278688523,95.76502732240438,67.62030516431925,84.97652582159625,89.89143192488262,93.61795774647888,,,,
resnet18conv4_netvlad_fp16_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet18_netvlad_1024/best_model.pth,resnet18conv4,netvlad,1024,fp16_comp,,0.5981071990728378,0.0098131546664214,0.0001666641235351,,53806458,4096,,,,,,,,,16.791098869237462,31.06335169614381,38.63801101768629,47.57538416932445,77.93715846994536,88.3879781420765,92.34972677595628,95.6967213114754,67.67899061032864,85.04988262910797,89.93544600938968,93.54460093896714,,,,
resnet18conv4_netvlad_int8_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet18_netvlad_1024/best_model.pth,resnet18conv4,netvlad,1024,int8_comp,,0.5189536058902741,0.0020223011183201,0.000167224407196,,50376890,4096,,,,,,,,,16.86720788634387,31.175703102348507,38.92432589156277,47.76746883154537,77.04918032786885,88.66120218579235,92.34972677595628,95.49180327868852,66.57863849765259,84.46302816901408,89.53931924882629,93.14847417840376,,,,
resnet50conv4_netvlad_fp32_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet50_netvlad_1024/best_model.pth,resnet50conv4,netvlad,1024,fp32_comp,,3.377131505012512,0.0151348317040919,0.0001672339439392,,420378682,4096,,,,,,,,,19.531023485068136,34.40489997100609,43.07770368222673,52.79791243838794,81.62568306010928,92.82786885245902,95.76502732240438,97.3360655737705,67.31220657276995,85.22593896713614,90.39025821596243,94.0287558685446,,,,
resnet50conv4_netvlad_fp16_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet50_netvlad_1024/best_model.pth,resnet50conv4,netvlad,1024,fp16_comp,,2.013046081066132,0.0224046212124973,0.0001683616638183,,204632570,4096,,,,,,,,,19.51290229051899,34.40127573209626,43.08132792113656,52.736300376920845,81.62568306010928,93.0327868852459,95.6967213114754,97.3360655737705,67.31220657276995,85.28462441314554,90.44894366197182,94.01408450704226,,,,
resnet50conv4_netvlad_int8_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/resnet50_netvlad_1024/best_model.pth,resnet50conv4,netvlad,1024,int8_comp,,1.7549484980106351,0.0207094821310676,0.0001676702499389,,105626938,4096,,,,,,,,,19.17947231081473,33.7054218614091,42.1716439547695,52.11293128443028,81.62568306010928,92.55464480874316,95.62841530054644,97.26775956284152,67.16549295774648,84.81514084507043,90.3462441314554,93.79401408450704,,,,
squeezenet_netvlad_fp32_comp_PTQ,/home/oliver/Documents/github/lightweight_VPR/weights/fp32/squeezenet_netvlad_1024/best_model.pth,squeezenet,netvlad,1024,fp32_comp,,1.5115187132358552,0.0126470256661255,0.0001663780212402,,185140538,4096,,,,,,,,,9.785445056538126,18.42563061757031,23.60466801971586,30.363873586546823,68.78415300546447,83.53825136612022,89.275956284153,93.23770491803278,68.7206572769953,85.38732394366197,90.25821596244133,93.57394366197182,,,,
